Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type
Odour1.1,18,14.0,87.9,
Odour1.2,9,11.9,268.4,
Odour1.3,2,1.9,571.0,
Eexample,0,0.0,0.0,
Fexample,0,0.0,0.0,
Gexample,0,0.0,0.0,
Hexample,0,0.0,0.0,
Iexample,0,0.0,0.0,
Odour2.1,17,24.9,676.2,
Odour2.2,8,17.4,878.9,
Odour2.3,9,17.4,1071.4,
Mexample,0,0.0,0.0,
Nexample,0,0.0,0.0,
Oexample,0,0.0,0.0,
Pexample,0,0.0,0.0,
Qexample,0,0.0,0.0,
Odour3.1,7,8.2,1283.0,
Odour3.2,3,3.2,1477.8,
Odour3.3,3,1.3,1678.3,
Bexample,0,0.0,0.0,
Cexample,0,0.0,0.0,
Uexample,0,0.0,0.0,
Vexample,0,0.0,0.0,
Wexample,0,0.0,0.0,
Xexample,0,0.0,0.0,
Zexample,0,0.0,0.0,
Change,0,0.0,0.0,
Codes,0,0.0,0.0,
in,0,0.0,0.0,
Configfile,0,0.0,0.0,
