Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6
Odour1.1,14,16.0,112.4,,,
Odour1.2,14,17.8,286.9,,,
Odour1.3,3,1.1,470.6,,,
Eexample,0,0.0,0.0,,,
Fexample,0,0.0,0.0,,,2.1 - possibly chewing the grid a bi
Gexample,0,0.0,0.0,,,
Hexample,0,0.0,0.0,,,
Iexample,0,0.0,0.0,,,
Odour2.1,29,58.7,639.7,,,
Odour2.2,18,22.0,845.3,,,
Odour2.3,4,6.9,1044.2,,,
Mexample,0,0.0,0.0,,,
Nexample,0,0.0,0.0,,,
Oexample,0,0.0,0.0,,,
Pexample,0,0.0,0.0,,,
Qexample,0,0.0,0.0,,,
Odour3.1,7,12.0,1222.6,,,
Odour3.2,7,4.1,1437.6,,,
Odour3.3,5,6.1,1630.7,,,
Bexample,0,0.0,0.0,,,
Cexample,0,0.0,0.0,,,
Uexample,0,0.0,0.0,,,
Vexample,0,0.0,0.0,,,
Wexample,0,0.0,0.0,,,
Xexample,0,0.0,0.0,,,
Zexample,0,0.0,0.0,,,
Change,0,0.0,0.0,,,
Codes,0,0.0,0.0,,,
in,0,0.0,0.0,,,
Configfile,0,0.0,0.0,,,
