Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Odour1.1,22,32.7,198.0,,,,,,,
Odour1.2,10,15.5,402.4,,,,,,,
Odour1.3,7,12.9,610.5,,,,,,,
Eexample,0,0.0,0.0,,,,,,,
Fexample,0,0.0,0.0,,,,,,,
Gexample,0,0.0,0.0,,,,,,,
Hexample,0,0.0,0.0,,,,,,,"Ignored 2.3, liked 3.3 more than 3.2"
Iexample,0,0.0,0.0,,,,,,,
Odour2.1,8,19.3,803.1,,,,,,,
Odour2.2,4,7.9,980.2,,,,,,,
Odour2.3,0,0.0,0.0,,,,,,,
Mexample,0,0.0,0.0,,,,,,,
Nexample,0,0.0,0.0,,,,,,,
Oexample,0,0.0,0.0,,,,,,,
Pexample,0,0.0,0.0,,,,,,,
Qexample,0,0.0,0.0,,,,,,,
Odour3.1,12,37.0,1369.2,,,,,,,
Odour3.2,5,3.0,1581.6,,,,,,,
Odour3.3,10,17.3,1762.2,,,,,,,
Bexample,0,0.0,0.0,,,,,,,
Cexample,0,0.0,0.0,,,,,,,
Uexample,0,0.0,0.0,,,,,,,
Vexample,0,0.0,0.0,,,,,,,
Wexample,0,0.0,0.0,,,,,,,
Xexample,0,0.0,0.0,,,,,,,
Zexample,0,0.0,0.0,,,,,,,
Change,0,0.0,0.0,,,,,,,
Codes,0,0.0,0.0,,,,,,,
in,0,0.0,0.0,,,,,,,
Configfile,0,0.0,0.0,,,,,,,
