Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Odour1.1,24,55.0,138.8,,,,,
Odour1.2,20,69.9,336.4,,,,,
Odour1.3,9,39.4,565.8,,,,,
Eexample,0,0.0,0.0,,,,,
Fexample,0,0.0,0.0,,,,,
Gexample,0,0.0,0.0,,,,,
Hexample,0,0.0,0.0,,,,,
Iexample,0,0.0,0.0,,,,,"1.1  and 1.2 - grabs/plays with the bud, 1.3 - bites the hopper? - 585.0-603.3"
Odour2.1,19,55.5,788.2,,,,,2.3 - reaches out/plays with the bud
Odour2.2,20,63.3,1002.4,,,,,3.2 - pushes bud down/bud touches the hopper
Odour2.3,13,71.2,1213.3,,,,,
Mexample,0,0.0,0.0,,,,,
Nexample,0,0.0,0.0,,,,,
Oexample,0,0.0,0.0,,,,,
Pexample,0,0.0,0.0,,,,,
Qexample,0,0.0,0.0,,,,,
Odour3.1,17,33.9,1396.7,,,,,
Odour3.2,31,34.6,1596.1,,,,,
Odour3.3,15,17.6,1796.7,,,,,
Bexample,0,0.0,0.0,,,,,
Cexample,0,0.0,0.0,,,,,
Uexample,0,0.0,0.0,,,,,
Vexample,0,0.0,0.0,,,,,
Wexample,0,0.0,0.0,,,,,
Xexample,0,0.0,0.0,,,,,
Zexample,0,0.0,0.0,,,,,
Change,0,0.0,0.0,,,,,
Codes,0,0.0,0.0,,,,,
in,0,0.0,0.0,,,,,
Configfile,0,0.0,0.0,,,,,
