Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Odour1.1,3,1.1,383.7,,,,,,,,,
Odour1.2,30,50.3,594.8,,,,,,,,,
Odour1.3,9,11.0,831.5,,,,,,,,,
Eexample,0,0.0,0.0,,,,,,,,,
Fexample,0,0.0,0.0,,,,,,,,,
Gexample,0,0.0,0.0,,,,,,,,,
Hexample,0,0.0,0.0,,,,,,,,,
Iexample,0,0.0,0.0,,,,,,,,,
Odour2.1,10,8.4,1019.6,,,,,,,,,
Odour2.2,4,4.7,1241.8,,,,,,,,,weird timings
Odour2.3,16,25.4,1433.9,,,,,,,,,
Mexample,0,0.0,0.0,,,,,,,,,
Nexample,0,0.0,0.0,,,,,,,,,
Oexample,0,0.0,0.0,,,,,,,,,
Pexample,0,0.0,0.0,,,,,,,,,
Qexample,0,0.0,0.0,,,,,,,,,
Odour3.1,11,17.1,1675.0,,,,,,,,,
Odour3.2,5,2.1,1855.7,,,,,,,,,
Odour3.3,6,5.3,2010.7,,,,,,,,,
Bexample,0,0.0,0.0,,,,,,,,,
Cexample,0,0.0,0.0,,,,,,,,,
Uexample,0,0.0,0.0,,,,,,,,,
Vexample,0,0.0,0.0,,,,,,,,,
Wexample,0,0.0,0.0,,,,,,,,,
Xexample,0,0.0,0.0,,,,,,,,,
Zexample,0,0.0,0.0,,,,,,,,,
Change,0,0.0,0.0,,,,,,,,,
Codes,0,0.0,0.0,,,,,,,,,
in,0,0.0,0.0,,,,,,,,,
Configfile,0,0.0,0.0,,,,,,,,,
