Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,,,,,,"Ignored 1.3, 2.1, 2.3, 3.3 - sniffs from far - from corner of the cage"
Odour1.1,10,19.3,94.1,,,,,,,,,
Odour1.2,2,3.7,297.1,,,,,,,,,
Odour1.3,0,0,0,,,,,,,,,
Eexample,0,0,0,,,,,,,,,
Fexample,0,0,0,,,,,,,,,
Gexample,0,0,0,,,,,,,,,
Hexample,0,0,0,,,,,,,,,
Iexample,0,0,0,,,,,,,,,
Odour2.1,0,0,0,,,,,,,,,
Odour2.2,6,14.9,911.3,,,,,,,,,
Odour2.3,0,0,0,,,,,,,,,
Mexample,0,0,0,,,,,,,,,
Nexample,0,0,0,,,,,,,,,
Oexample,0,0,0,,,,,,,,,
Pexample,0,0,0,,,,,,,,,
Qexample,0,0,0,,,,,,,,,
Odour3.1,8,5.1,1273.5,,,,,,,,,
Odour3.2,3,3.5,1486,,,,,,,,,
Odour3.3,0,0,0,,,,,,,,,
Bexample,0,0,0,,,,,,,,,
Cexample,0,0,0,,,,,,,,,
Uexample,0,0,0,,,,,,,,,
Vexample,0,0,0,,,,,,,,,
Wexample,0,0,0,,,,,,,,,
Xexample,0,0,0,,,,,,,,,
Zexample,0,0,0,,,,,,,,,
Change,0,0,0,,,,,,,,,
Codes,0,0,0,,,,,,,,,
in,0,0,0,,,,,,,,,
Configfile,0,0,0,,,,,,,,,
