Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,,,,,,,
Odour1.1,16,20.8,94,,,,,,,,,,
Odour1.2,17,22.1,289.2,,,,,,,,,,
Odour1.3,10,11.6,476.9,,,,,,,,,,
Eexample,0,0,0,,,,,,,,,,
Fexample,0,0,0,,,,,,,,,,
Gexample,0,0,0,,,,,,,,,,
Hexample,0,0,0,,,,,,,,,,
Iexample,0,0,0,,,,,,,,,,
Odour2.1,17,21.4,670.3,,,,,,,,,,
Odour2.2,10,11.1,866.7,,,,,,,,,,
Odour2.3,6,8.1,1075.6,,,,,,,,,,
Mexample,0,0,0,,,,,,,,,,"Ignored 3.3, smells from far"
Nexample,0,0,0,,,,,,,,,,
Oexample,0,0,0,,,,,,,,,,
Pexample,0,0,0,,,,,,,,,,
Qexample,0,0,0,,,,,,,,,,
Odour3.1,5,25.8,1266.5,,,,,,,,,,
Odour3.2,4,9.5,1453.6,,,,,,,,,,
Odour3.3,0,0,0,,,,,,,,,,
Bexample,0,0,0,,,,,,,,,,
Cexample,0,0,0,,,,,,,,,,
Uexample,0,0,0,,,,,,,,,,
Vexample,0,0,0,,,,,,,,,,
Wexample,0,0,0,,,,,,,,,,
Xexample,0,0,0,,,,,,,,,,
Zexample,0,0,0,,,,,,,,,,
Change,0,0,0,,,,,,,,,,
Codes,0,0,0,,,,,,,,,,
in,0,0,0,,,,,,,,,,
Configfile,0,0,0,,,,,,,,,,
