Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,,,,
Odour1.1,18,27.7,158.4,,,,,,,
Odour1.2,10,14.3,380.6,,,,,,,2.1 - manged to bite it - did not count the bite
Odour1.3,3,4.2,631.9,,,,,,,"2.3 - bit the bud - did not count it, also managed to pull the bud through - not counted, but possible contamination?"
Eexample,0,0,0,,,,,,,3.2 - possible bite but cannot see
Fexample,0,0,0,,,,,,,
Gexample,0,0,0,,,,,,,
Hexample,0,0,0,,,,,,,
Iexample,0,0,0,,,,,,,
Odour2.1,23,45.5,832.9,,,,,,,
Odour2.2,5,19.9,1037.7,,,,,,,
Odour2.3,19,40.9,1244.4,,,,,,,
Mexample,0,0,0,,,,,,,
Nexample,0,0,0,,,,,,,
Oexample,0,0,0,,,,,,,
Pexample,0,0,0,,,,,,,
Qexample,0,0,0,,,,,,,
Odour3.1,9,23.5,1525.8,,,,,,,
Odour3.2,16,27.4,1725.4,,,,,,,
Odour3.3,9,15.9,1928.2,,,,,,,
Bexample,0,0,0,,,,,,,
Cexample,0,0,0,,,,,,,
Uexample,0,0,0,,,,,,,
Vexample,0,0,0,,,,,,,
Wexample,0,0,0,,,,,,,
Xexample,0,0,0,,,,,,,
Zexample,0,0,0,,,,,,,
Change,0,0,0,,,,,,,
Codes,0,0,0,,,,,,,
in,0,0,0,,,,,,,
Configfile,0,0,0,,,,,,,
