Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,
Odour1.1,19,28.8,95.1,,,,
Odour1.2,20,28.6,314.6,,,,Ignored 3.2
Odour1.3,6,10.2,520.2,,,,
Eexample,0,0,0,,,,
Fexample,0,0,0,,,,
Gexample,0,0,0,,,,
Hexample,0,0,0,,,,
Iexample,0,0,0,,,,
Odour2.1,13,18.8,757.6,,,,
Odour2.2,13,26.6,967.9,,,,
Odour2.3,8,16,1225.4,,,,
Mexample,0,0,0,,,,
Nexample,0,0,0,,,,
Oexample,0,0,0,,,,
Pexample,0,0,0,,,,
Qexample,0,0,0,,,,
Odour3.1,8,16.7,1381.4,,,,
Odour3.2,0,0,0,,,,
Odour3.3,1,0.8,1834,,,,
Bexample,0,0,0,,,,
Cexample,0,0,0,,,,
Uexample,0,0,0,,,,
Vexample,0,0,0,,,,
Wexample,0,0,0,,,,
Xexample,0,0,0,,,,
Zexample,0,0,0,,,,
Change,0,0,0,,,,
Codes,0,0,0,,,,
in,0,0,0,,,,
Configfile,0,0,0,,,,
