Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,,,
Odour1.1,0,0,0,,,,,,
Odour1.2,0,0,0,,,,,,
Odour1.3,0,0,0,,,,,,
Eexample,0,0,0,,,,,,
Fexample,0,0,0,,,,,,
Gexample,0,0,0,,,,,,
Hexample,0,0,0,,,,,,
Iexample,0,0,0,,,,,,
Odour2.1,15,19.6,757.5,,,,,,"Ignored 1.1, 1.2, 1.3, 2.2"
Odour2.2,0,0,0,,,,,,
Odour2.3,4,4,1171.2,,,,,,
Mexample,0,0,0,,,,,,
Nexample,0,0,0,,,,,,
Oexample,0,0,0,,,,,,
Pexample,0,0,0,,,,,,
Qexample,0,0,0,,,,,,
Odour3.1,10,17.7,1390.7,,,,,,
Odour3.2,4,5.4,1601.3,,,,,,
Odour3.3,1,3.1,1804.8,,,,,,
Bexample,0,0,0,,,,,,
Cexample,0,0,0,,,,,,
Uexample,0,0,0,,,,,,
Vexample,0,0,0,,,,,,
Wexample,0,0,0,,,,,,
Xexample,0,0,0,,,,,,
Zexample,0,0,0,,,,,,
Change,0,0,0,,,,,,
Codes,0,0,0,,,,,,
in,0,0,0,,,,,,
Configfile,0,0,0,,,,,,
