Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,,
Odour1.1,18,37.7,108.4,,,,,
Odour1.2,25,61.1,318.4,,,,,
Odour1.3,19,34.8,514.6,,,,,
Eexample,0,0,0,,,,,
Fexample,0,0,0,,,,,1.2 - chews the grids/buds?
Gexample,0,0,0,,,,,2.1 - chews the grids?
Hexample,0,0,0,,,,,2.2 - plays with the bud
Iexample,0,0,0,,,,,2.3 - chews the grids
Odour2.1,21,90,729.6,,,,,1.3 - reaches a bit
Odour2.2,13,96,943.4,,,,,
Odour2.3,8,79.1,1136,,,,,
Mexample,0,0,0,,,,,
Nexample,0,0,0,,,,,
Oexample,0,0,0,,,,,
Pexample,0,0,0,,,,,
Qexample,0,0,0,,,,,
Odour3.1,10,18.3,1331.6,,,,,
Odour3.2,10,8.4,1560.4,,,,,
Odour3.3,4,2.8,1871.4,,,,,
Bexample,0,0,0,,,,,
Cexample,0,0,0,,,,,
Uexample,0,0,0,,,,,
Vexample,0,0,0,,,,,
Wexample,0,0,0,,,,,
Xexample,0,0,0,,,,,
Zexample,0,0,0,,,,,
Change,0,0,0,,,,,
Codes,0,0,0,,,,,
in,0,0,0,,,,,
Configfile,0,0,0,,,,,
